# source_asset_relative_to_seeds_assets	target_object_key
provider_profile_photo/plomeria-01.webp	seed/profile_photo/providers-100/provider-0001.webp
provider_profile_photo/electricidad-02.webp	seed/profile_photo/providers-100/provider-0002.webp
provider_profile_photo/gas-03.webp	seed/profile_photo/providers-100/provider-0003.webp
provider_profile_photo/carpinteria-01.webp	seed/profile_photo/providers-100/provider-0004.webp
provider_profile_photo/pintura-02.webp	seed/profile_photo/providers-100/provider-0005.webp
provider_profile_photo/climatizacion-03.webp	seed/profile_photo/providers-100/provider-0006.webp
provider_profile_photo/plomeria-01.webp	seed/profile_photo/providers-100/provider-0007.webp
provider_profile_photo/electricidad-02.webp	seed/profile_photo/providers-100/provider-0008.webp
provider_profile_photo/gas-03.webp	seed/profile_photo/providers-100/provider-0009.webp
provider_profile_photo/carpinteria-01.webp	seed/profile_photo/providers-100/provider-0010.webp
provider_profile_photo/pintura-02.webp	seed/profile_photo/providers-100/provider-0011.webp
provider_profile_photo/climatizacion-03.webp	seed/profile_photo/providers-100/provider-0012.webp
provider_profile_photo/plomeria-01.webp	seed/profile_photo/providers-100/provider-0013.webp
provider_profile_photo/electricidad-02.webp	seed/profile_photo/providers-100/provider-0014.webp
provider_profile_photo/gas-03.webp	seed/profile_photo/providers-100/provider-0015.webp
provider_profile_photo/carpinteria-01.webp	seed/profile_photo/providers-100/provider-0016.webp
provider_profile_photo/pintura-02.webp	seed/profile_photo/providers-100/provider-0017.webp
provider_profile_photo/climatizacion-03.webp	seed/profile_photo/providers-100/provider-0018.webp
provider_profile_photo/plomeria-01.webp	seed/profile_photo/providers-100/provider-0019.webp
provider_profile_photo/electricidad-02.webp	seed/profile_photo/providers-100/provider-0020.webp
provider_profile_photo/gas-03.webp	seed/profile_photo/providers-100/provider-0021.webp
provider_profile_photo/carpinteria-01.webp	seed/profile_photo/providers-100/provider-0022.webp
provider_profile_photo/pintura-02.webp	seed/profile_photo/providers-100/provider-0023.webp
provider_profile_photo/climatizacion-03.webp	seed/profile_photo/providers-100/provider-0024.webp
provider_profile_photo/plomeria-01.webp	seed/profile_photo/providers-100/provider-0025.webp
provider_profile_photo/electricidad-02.webp	seed/profile_photo/providers-100/provider-0026.webp
